ID,Gender,BAMajor,BAGPA,yrs_work,yrs_python,yrs_R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,GPA
20210011,M,Information Systems,3.10,1,4,2,77.37,70.19,72.49,72.24,82.83,64.50,88.58,75.94,74.97,58.57,77.42,70.29,72.52,52.19,68.61,41.60,78.46,57.67,56.21,34.30,3.21
20210012,F,Liberal Arts,3.03,0,1,1,61.05,53.70,69.14,38.68,53.01,55.37,76.89,65.90,82.17,40.07,61.22,53.72,69.20,14.96,28.10,30.66,59.12,43.43,67.52,16.06,3.00
20210013,F,Information Systems,3.37,4,2,2,79.20,81.50,91.02,94.37,80.60,82.17,81.05,83.49,74.24,8.54,79.23,81.70,91.05,89.06,64.96,67.52,65.69,69.71,55.12,0.73,3.50
20210014,F,Computer Science,3.53,4,4,1,85.51,71.74,75.45,99.45,95.71,96.85,91.42,81.28,97.41,49.82,85.65,71.83,75.46,98.90,91.60,93.80,83.58,66.06,94.89,24.82,3.90
20210015,F,Others,3.43,0,1,2,54.54,68.88,78.07,35.74,65.35,47.95,65.07,71.48,53.70,36.25,54.64,68.94,78.19,12.77,42.71,22.99,42.34,51.09,28.84,13.14,3.12
20210016,F,Computer Science,3.27,1,4,1,72.59,56.99,67.54,74.24,87.34,70.97,71.99,90.21,85.22,67.00,72.67,57.17,67.63,55.12,76.28,50.37,51.83,81.38,72.62,44.89,3.56
20210017,F,Electronic Engineering,3.14,3,2,1,65.03,76.18,78.30,80.15,72.49,89.40,73.00,75.21,73.49,0.00,65.19,76.22,78.34,64.24,52.55,79.92,53.29,56.57,54.01,0.00,3.31
20210018,F,Computer Science,3.43,2,1,1,68.00,63.36,74.73,71.99,88.79,84.36,60.71,70.19,60.71,30.21,68.10,63.52,74.92,51.83,78.84,71.17,36.86,49.27,36.86,9.13,3.26
20210019,M,Information Systems,3.03,4,2,2,76.90,85.65,91.42,87.13,82.39,98.34,87.13,78.07,70.45,0.00,76.94,85.75,91.56,75.92,67.88,96.71,75.92,60.95,49.63,0.00,3.40
20210020,F,Applied Math,3.28,1,1,3,78.74,75.45,87.55,73.00,50.90,53.70,56.35,55.04,55.04,63.93,78.80,75.60,87.58,53.29,25.91,28.84,31.75,30.29,30.29,40.87,3.14
20210021,M,Computer Science,3.35,1,3,0,39.26,67.54,41.42,79.46,83.05,75.21,84.58,82.61,69.41,56.67,39.41,67.69,41.62,63.14,68.97,56.57,71.54,68.24,48.18,32.11,3.44
20210022,M,Computer Science,3.02,0,2,0,33.87,32.53,59.19,66.45,53.35,55.37,75.70,71.22,47.18,41.42,33.99,32.64,59.31,44.16,28.46,30.66,57.30,50.72,22.26,17.16,2.84
20210023,F,Information Systems,3.14,1,2,2,64.76,78.07,73.49,56.67,63.36,59.50,79.00,61.90,66.45,46.80,64.90,78.20,73.69,32.11,40.14,35.40,62.41,38.32,44.16,21.90,3.28
20210024,M,Computer Science,3.14,2,2,1,59.87,55.70,58.57,82.39,79.00,85.44,60.71,78.77,79.92,53.35,59.99,55.90,58.72,67.88,62.41,73.00,36.86,62.05,63.87,28.46,3.27
20210025,M,Computer Science,3.18,1,3,0,65.31,68.62,40.53,76.65,75.94,75.70,68.88,85.44,63.93,50.54,65.33,68.65,40.68,58.75,57.67,57.30,47.44,73.00,40.87,25.54,3.13
20210026,M,Business,4,4,0,1,75.01,76.18,55.04,75.21,83.93,76.65,72.24,60.11,61.31,0.00,75.09,76.37,55.06,56.57,70.44,58.75,52.19,36.13,37.59,0.00,3.66
20210027,M,Others,2.57,3,1,2,83.17,85.01,82.61,86.71,84.79,88.58,65.90,71.22,70.97,0.00,83.27,85.09,82.68,75.19,71.89,78.46,43.43,50.72,50.37,0.00,3.00
20210028,M,Computer Science,3.22,2,3,2,71.84,73.99,65.62,93.20,86.07,82.61,81.50,85.65,91.02,35.23,71.89,74.14,65.79,86.86,74.08,68.24,66.42,73.36,82.85,12.41,3.50
20210029,M,Applied Math,3.20,0,2,2,75.25,81.95,69.67,39.61,70.71,53.35,64.78,73.74,76.18,49.08,75.41,81.98,69.84,15.69,50.00,28.46,41.96,54.38,58.03,24.09,3.28
20210030,M,Applied Math,3.10,0,1,1,75.15,81.95,69.79,39.60,70.63,53.40,64.83,73.78,76.23,49.11,75.53,82.02,69.81,15.77,49.96,28.55,42.02,54.41,58.07,23.98,3.16
20210031,F,Others,2.53,3,1,1,52.19,53.01,51.26,82.83,80.60,85.65,67.27,53.01,75.21,44.39,52.28,53.12,51.30,68.61,64.96,73.36,45.25,28.10,56.57,19.70,2.78
20210032,F,Applied Math,3.37,2,1,3,95.79,91.82,91.62,64.78,84.14,61.01,78.77,70.45,61.61,42.29,95.96,91.86,91.63,41.96,70.80,37.22,62.05,49.63,37.96,17.88,3.38
20210033,F,Information Systems,3.45,1,2,1,62.79,76.18,53.70,64.78,60.11,63.65,68.88,65.90,64.50,42.29,62.94,76.33,53.71,41.96,36.13,40.51,47.44,43.43,41.60,17.88,3.25
20210034,M,Applied Math,2.63,1,1,3,91.58,83.27,84.14,72.24,65.35,73.00,61.61,52.67,65.62,42.29,91.72,83.39,84.32,52.19,42.71,53.29,37.96,27.74,43.06,17.88,2.97
20210035,F,Electronic Engineering,4,1,3,1,55.52,61.01,76.65,56.99,80.60,80.60,86.07,69.93,82.17,62.78,55.56,61.16,76.67,32.48,64.96,64.96,74.08,48.90,67.52,39.41,3.72
20210036,F,Information Systems,3.64,3,3,2,85.30,90.01,89.20,92.61,84.79,80.60,92.61,81.72,90.01,36.75,85.31,90.16,89.22,85.77,71.89,64.96,85.77,66.78,81.02,13.51,3.89
20210037,F,Electronic Engineering,3.15,0,2,0,37.39,67.81,63.36,63.93,47.95,54.03,61.90,59.19,76.18,44.39,37.57,67.85,63.40,40.87,22.99,29.19,38.32,35.03,58.03,19.70,3.03
20210038,M,Computer Science,3.39,0,1,2,62.50,55.37,77.84,71.48,68.62,63.36,51.97,45.61,53.70,60.11,62.62,55.49,77.89,51.09,47.09,40.14,27.01,20.80,28.84,36.13,3.20
20210039,F,Computer Science,4,3,3,2,75.96,79.46,86.92,82.61,91.02,85.22,74.48,89.40,78.77,44.39,76.09,79.59,87.00,68.24,82.85,72.62,55.47,79.92,62.05,19.70,4.06
20210040,M,Applied Math,3.05,3,1,1,72.34,63.65,58.57,85.65,79.46,83.27,70.45,69.14,76.18,19.10,72.50,63.71,58.68,73.36,63.14,69.34,49.63,47.80,58.03,3.65,3.08
20210041,M,Others,3.32,3,2,1,53.55,64.22,72.49,74.97,67.81,73.49,76.18,80.15,64.78,30.80,53.62,64.30,72.55,56.21,45.98,54.01,58.03,64.24,41.96,9.49,3.21
20210042,F,Others,3.03,3,1,1,58.35,61.31,73.00,67.27,63.93,76.42,68.08,58.57,74.48,8.54,58.45,61.49,73.07,45.25,40.87,58.40,46.35,34.30,55.47,0.73,3.10
20210043,M,Electronic Engineering,3.30,1,2,0,41.91,53.70,62.78,59.81,64.78,67.81,59.19,61.31,64.50,42.29,41.98,53.79,62.80,35.77,41.96,45.98,35.03,37.59,41.60,17.88,3.10
20210044,F,Information Systems,3.27,1,4,3,85.51,77.37,94.75,80.83,76.18,69.14,82.61,84.14,87.96,67.00,85.59,77.52,94.83,65.33,58.03,47.80,68.24,70.80,77.37,44.89,3.59
20210045,M,Business,4,1,1,2,55.52,64.78,72.24,72.75,70.71,53.01,82.39,76.42,73.00,57.31,55.54,64.95,72.38,52.93,50.00,28.10,67.88,58.40,53.29,32.84,3.76
20210046,M,Liberal Arts,4,4,1,1,69.82,75.70,79.00,88.17,74.73,95.33,85.22,76.65,80.60,0.00,69.88,75.76,79.11,77.74,55.85,90.88,72.62,58.75,64.96,0.00,3.69
20210047,M,Computer Science,3.29,2,4,1,82.09,64.78,78.07,83.49,75.70,79.00,75.21,84.36,77.84,54.37,82.19,64.78,78.08,69.71,57.30,62.41,56.57,71.17,60.59,29.56,3.35
20210048,M,Electronic Engineering,3.22,2,2,0,65.31,44.80,55.04,81.72,65.90,63.36,73.74,69.41,67.00,27.02,65.38,44.91,55.18,66.78,43.43,40.14,54.38,48.18,44.89,7.30,3.02
20210049,M,Applied Math,2.63,1,1,3,91.58,83.27,84.14,72.24,65.35,73.00,61.61,52.67,65.62,42.29,91.72,83.28,84.25,52.19,42.71,53.29,37.96,27.74,43.06,17.88,2.97
20210050,F,Business,3.05,3,0,1,72.83,58.57,73.74,85.22,80.37,78.07,77.13,76.18,81.95,0.00,72.83,58.74,73.83,72.62,64.59,60.95,59.49,58.03,67.16,0.00,3.21
20210051,F,Information Systems,3.61,3,4,1,72.34,65.62,83.27,94.37,74.97,88.17,85.01,95.14,79.92,42.72,72.53,65.69,83.40,89.06,56.21,77.74,72.27,90.52,63.87,18.25,3.71
20210052,F,Business,3.05,3,2,1,77.60,59.19,75.94,68.88,79.92,69.67,82.39,88.58,86.71,38.68,77.69,59.27,75.99,47.44,63.87,48.54,67.88,78.46,75.19,14.96,3.22
20210053,F,Computer Science,3.45,3,3,1,61.35,80.15,64.78,86.07,80.37,86.50,90.21,75.21,83.71,42.72,61.53,80.21,64.91,74.08,64.59,74.82,81.38,56.57,70.07,18.25,3.66
20210054,F,Others,3.69,2,0,2,78.52,73.00,65.35,77.60,77.60,68.88,61.01,65.07,66.73,34.70,78.61,73.17,65.46,60.22,60.22,47.44,37.22,42.34,44.53,12.04,3.43
20210055,F,Electronic Engineering,3.50,3,3,1,83.39,78.54,63.65,90.62,72.49,84.79,83.93,78.30,71.22,0.00,83.42,78.58,63.82,82.12,52.55,71.89,70.44,61.31,50.72,0.00,3.41
20210056,F,Information Systems,3.33,2,1,2,66.67,68.62,83.93,60.41,78.77,66.18,62.78,64.50,62.78,44.80,66.78,68.76,83.97,36.49,62.05,43.80,39.41,41.60,39.41,20.07,3.34
20210057,F,Information Systems,3.19,1,2,2,66.13,67.81,65.07,60.11,64.78,55.37,69.93,65.35,82.17,58.26,66.26,67.82,65.10,36.13,41.96,30.66,48.90,42.71,67.52,33.94,3.14
20210058,F,Others,3.45,0,1,0,58.04,55.37,58.88,50.18,26.33,39.15,63.65,60.11,56.02,59.50,58.19,55.47,58.92,25.18,6.93,15.33,40.51,36.13,31.38,35.40,3.04
20210059,F,Others,3.28,0,2,2,72.09,74.97,55.04,60.41,55.37,56.02,76.89,69.14,68.88,60.41,72.21,75.06,55.19,36.49,30.66,31.38,59.12,47.80,47.44,36.49,3.17
20210060,M,Computer Science,3.07,0,2,1,65.58,50.90,49.82,47.57,51.97,73.00,78.30,63.93,77.84,54.03,65.61,50.97,49.95,22.63,27.01,53.29,61.31,40.87,60.59,29.19,3.12
20210061,M,Others,3.12,0,1,0,23.96,20.02,29.78,59.28,47.76,63.26,33.12,66.79,40.51,58.23,23.92,20.26,29.91,35.13,22.63,40.24,11.03,44.54,16.46,34.00,2.90
20210062,M,Information Systems,3.30,1,2,2,84.45,74.48,84.14,62.78,64.22,75.94,71.22,67.81,69.41,44.39,84.49,74.58,84.32,39.41,41.24,57.67,50.72,45.98,48.18,19.70,3.49
20210063,M,Computer Science,3.18,0,1,2,77.14,53.70,63.93,59.50,51.97,79.23,53.35,72.49,47.18,42.29,77.25,53.77,64.13,35.40,27.01,62.77,28.46,52.55,22.26,17.88,3.21
20210064,M,Computer Science,3.07,0,2,1,65.58,50.90,49.82,47.57,51.97,73.00,78.30,63.93,77.84,54.03,65.72,50.91,50.01,22.63,27.01,53.29,61.31,40.87,60.59,29.19,3.12
20210065,F,Computer Science,3.99,4,1,1,75.73,78.54,70.45,94.37,100.91,88.38,78.30,72.49,54.71,0.00,75.74,78.55,70.55,89.06,101.83,78.11,61.31,52.55,29.93,0.00,3.74
20210066,F,Information Systems,3.29,4,2,2,80.32,90.01,89.40,94.75,98.53,79.92,85.01,84.79,78.77,10.46,80.34,90.12,89.59,89.78,97.08,63.87,72.27,71.89,62.05,1.09,3.58
20210067,M,Others,3.09,3,2,1,75.25,80.37,68.08,76.18,83.71,66.18,77.13,76.42,65.07,0.00,75.38,80.45,68.21,58.03,70.07,43.80,59.49,58.40,42.34,0.00,3.08
20210068,F,Computer Science,3.45,3,3,1,61.35,80.15,64.78,86.07,80.37,86.50,90.21,75.21,83.71,42.72,61.44,80.24,64.79,74.08,64.59,74.82,81.38,56.57,70.07,18.25,3.66
20210069,F,Computer Science,3.43,4,3,1,67.47,83.71,73.99,89.61,86.50,97.22,78.07,89.40,73.49,0.00,67.66,83.89,74.18,80.30,74.82,94.52,60.95,79.92,54.01,0.00,3.63
20210070,F,Liberal Arts,3.27,0,1,2,63.08,67.00,55.04,56.67,64.22,57.63,69.41,64.22,71.74,62.49,63.17,67.08,55.11,32.11,41.24,33.21,48.18,41.24,51.47,39.05,3.22
20210071,F,Applied Math,3.11,3,2,2,79.42,81.50,90.42,81.72,80.37,81.95,64.50,73.25,83.27,39.61,79.59,81.51,90.60,66.78,64.59,67.16,41.60,53.66,69.34,15.69,3.28
20210072,M,Others,3.18,2,2,0,63.92,45.21,69.93,66.18,59.81,72.75,60.11,68.62,68.08,53.01,63.99,45.27,70.05,43.80,35.77,52.93,36.13,47.09,46.35,28.10,3.11
20210073,F,Information Systems,3.28,2,3,3,90.20,94.17,76.65,87.96,73.25,88.99,81.95,84.14,89.20,34.70,90.22,94.23,76.72,77.37,53.66,79.19,67.16,70.80,79.57,12.04,3.59
20210074,M,Liberal Arts,3.15,3,1,0,51.50,58.88,72.49,73.49,80.15,71.99,83.05,62.78,75.45,0.00,51.58,58.99,72.51,54.01,64.24,51.83,68.97,39.41,56.93,0.00,3.16
20210075,F,Applied Math,3.11,1,1,2,90.00,76.65,63.36,66.45,66.18,57.31,58.57,74.97,61.01,57.31,90.08,76.77,63.54,44.16,43.80,32.84,34.30,56.21,37.22,32.84,3.15
20210076,M,Computer Science,3.50,2,1,0,55.84,59.50,39.15,65.90,69.93,88.58,73.99,65.07,59.50,43.14,55.88,59.64,39.15,43.43,48.90,78.46,54.75,42.34,35.40,18.61,3.20
20210077,F,Computer Science,3.27,1,4,1,72.59,56.99,67.54,74.24,87.34,70.97,71.99,90.21,85.22,67.00,72.62,57.01,67.55,55.12,76.28,50.37,51.83,81.38,72.62,44.89,3.56
20210078,F,Information Systems,4,2,2,2,65.86,84.36,84.14,76.65,79.46,78.07,84.14,81.05,74.48,40.97,65.89,84.47,84.16,58.75,63.14,60.95,70.80,65.69,55.47,16.79,3.73
20210079,M,Business,3.12,1,2,2,71.59,59.50,80.83,72.49,62.20,63.93,80.83,83.27,89.40,43.98,71.76,59.68,80.90,52.55,38.69,40.87,65.33,69.34,79.92,19.34,3.17
20210080,F,Business,3.45,0,1,2,75.73,63.07,73.00,54.71,63.07,33.64,61.90,69.93,82.83,55.70,75.74,63.26,73.20,29.93,39.78,11.32,38.32,48.90,68.61,31.02,3.29
20210081,F,Others,3.99,2,0,0,44.80,63.65,29.60,70.19,53.01,52.32,61.31,65.35,62.78,0.00,44.83,63.79,29.65,49.27,28.10,27.37,37.59,42.71,39.41,0.00,3.45
20210082,M,Computer Science,3.29,3,3,2,87.38,73.00,84.79,96.09,97.04,91.02,83.93,93.00,84.36,27.68,87.51,73.07,84.93,92.33,94.17,82.85,70.44,86.49,71.17,7.66,3.49
20210083,M,Electronic Engineering,3.23,0,3,0,52.19,61.90,55.70,67.81,71.22,53.01,74.24,66.18,68.88,56.67,52.35,62.05,55.73,45.98,50.72,28.10,55.12,43.80,47.44,32.11,3.20
20210084,M,Computer Science,3.19,1,2,0,65.31,37.73,62.49,69.41,81.50,67.27,62.49,73.99,52.67,59.81,65.46,37.81,62.58,48.18,66.42,45.25,39.05,54.75,27.74,35.77,3.26
20210085,F,Business,3.28,1,2,0,59.27,66.73,46.01,65.35,69.14,58.57,82.17,83.93,67.81,57.63,59.32,66.73,46.04,42.71,47.80,34.30,67.52,70.44,45.98,33.21,3.27
20210086,M,Business,4,4,0,1,75.01,76.18,55.04,75.21,83.93,76.65,72.24,60.11,61.31,0.00,75.15,76.29,55.19,56.57,70.44,58.75,52.19,36.13,37.59,0.00,3.66
20210087,F,Computer Science,3.59,3,2,0,57.74,66.45,47.57,86.50,91.42,77.84,79.69,63.36,73.25,43.98,57.94,66.61,47.61,74.82,83.58,60.59,63.50,40.14,53.66,19.34,3.37
20210088,M,Computer Science,3.07,0,2,1,65.58,50.90,49.82,47.57,51.97,73.00,78.30,63.93,77.84,54.03,65.71,51.01,49.84,22.63,27.01,53.29,61.31,40.87,60.59,29.19,3.12
20210089,F,Electronic Engineering,3.34,3,3,0,66.93,61.01,68.35,74.24,89.20,75.94,80.60,66.73,89.40,37.73,67.01,61.02,68.50,55.12,79.57,57.67,64.96,44.53,79.92,14.24,3.39
20210090,M,Computer Science,3.33,0,3,2,71.59,74.73,65.90,65.90,63.36,69.67,79.69,68.88,76.89,68.88,71.73,74.86,66.09,43.43,40.14,48.54,63.50,47.44,59.12,47.44,3.32
20210091,F,Electronic Engineering,3.63,4,3,0,71.09,78.54,66.45,79.00,85.01,91.82,89.20,88.79,76.89,15.98,71.17,78.66,66.54,62.41,72.27,84.31,79.57,78.84,59.12,2.55,3.53
20210092,F,Information Systems,3.45,1,2,1,62.79,76.18,53.70,64.78,60.11,63.65,68.88,65.90,64.50,42.29,62.96,76.35,53.70,41.96,36.13,40.51,47.44,43.43,41.60,17.88,3.25
20210093,M,Applied Math,3.08,3,0,4,96.91,82.17,84.58,89.81,89.61,82.39,77.84,69.67,56.35,49.08,97.03,82.29,84.60,80.66,80.30,67.88,60.59,48.54,31.75,24.09,3.50
20210094,M,Applied Math,3.05,3,1,1,72.34,63.65,58.57,85.65,79.46,83.27,70.45,69.14,76.18,19.10,72.49,63.78,58.64,73.36,63.14,69.34,49.63,47.80,58.03,3.65,3.08
20210095,M,Computer Science,3.35,1,3,0,39.26,67.54,41.42,79.46,83.05,75.21,84.58,82.61,69.41,56.67,39.29,67.71,41.53,63.14,68.97,56.57,71.54,68.24,48.18,32.11,3.44
20210096,M,Computer Science,3.46,3,3,1,75.49,71.74,79.23,96.66,81.72,84.58,74.48,84.14,82.17,42.29,75.60,71.90,79.30,93.43,66.78,71.54,55.47,70.80,67.52,17.88,3.73
20210097,M,Others,3.19,0,1,2,53.88,54.37,56.99,42.72,60.71,39.15,59.50,65.07,45.21,63.65,54.07,54.51,57.02,18.25,36.86,15.33,35.40,42.34,20.44,40.51,2.96
20210098,M,Computer Science,3.02,0,2,0,33.87,32.53,59.19,66.45,53.35,55.37,75.70,71.22,47.18,41.42,33.90,32.67,59.30,44.16,28.46,30.66,57.30,50.72,22.26,17.16,2.84
20210099,M,Liberal Arts,3.21,2,0,0,41.48,60.71,44.80,55.04,74.48,68.35,49.82,61.61,61.31,14.80,41.62,60.91,44.99,30.29,55.47,46.72,24.82,37.96,37.59,2.19,3.10
20210100,F,Electronic Engineering,2.61,2,1,0,62.79,59.81,40.97,57.63,56.02,73.25,70.71,72.49,46.01,42.29,62.88,60.01,41.12,33.21,31.38,53.66,50.00,52.55,21.17,17.88,2.84
20210101,M,Computer Science,3.19,1,2,0,65.31,37.73,62.49,69.41,81.50,67.27,62.49,73.99,52.67,59.81,65.34,37.90,62.60,48.18,66.42,45.25,39.05,54.75,27.74,35.77,3.26
20210102,M,Business,3.05,1,1,1,69.56,57.63,56.35,68.62,49.45,63.36,67.81,68.35,67.27,50.90,69.56,57.70,56.44,47.09,24.45,40.14,45.98,46.72,45.25,25.91,3.04
20210103,F,Business,3.17,3,1,1,59.57,75.21,53.01,77.13,80.60,75.21,72.75,65.35,69.14,0.00,59.64,75.30,53.12,59.49,64.96,56.57,52.93,42.71,47.80,0.00,3.12
20210104,M,Applied Math,3.79,1,2,1,86.76,74.48,71.48,54.71,69.67,56.99,56.35,57.63,58.57,63.36,86.85,74.56,71.54,29.93,48.54,32.48,31.75,33.21,34.30,40.14,3.53
20210105,M,Applied Math,3.08,3,0,4,96.91,82.17,84.58,89.81,89.61,82.39,77.84,69.67,56.35,49.08,97.07,82.36,84.72,80.66,80.30,67.88,60.59,48.54,31.75,24.09,3.50
20210106,F,Computer Science,3.14,0,3,2,70.58,72.75,60.11,76.65,69.14,66.18,78.30,78.07,70.97,73.49,70.71,72.77,60.18,58.75,47.80,43.80,61.31,60.95,50.37,54.01,3.37
20210107,M,Business,3.20,2,1,2,61.35,66.18,76.89,74.97,58.88,69.41,73.99,84.58,74.48,8.54,61.51,66.36,76.95,56.21,34.67,48.18,54.75,71.54,55.47,0.73,3.25
20210108,F,Applied Math,3.53,0,0,2,73.57,79.23,73.99,38.68,47.57,33.09,65.35,35.74,28.34,57.31,73.69,79.30,74.05,14.96,22.63,10.95,42.71,12.77,8.03,32.84,3.12
20210109,F,Computer Science,3.19,3,2,0,43.17,57.95,70.71,79.69,87.96,84.58,67.27,82.83,70.45,0.00,43.18,58.04,70.79,63.50,77.37,71.54,45.25,68.61,49.63,0.00,3.14
20210110,M,Computer Science,2.61,0,2,0,57.42,51.62,53.01,54.37,49.45,66.45,73.74,64.78,56.99,43.98,57.46,51.76,53.02,29.56,24.45,44.16,54.38,41.96,32.48,19.34,2.75
20210111,F,Information Systems,3.61,3,4,1,72.34,65.62,83.27,94.37,74.97,88.17,85.01,95.14,79.92,42.72,72.47,65.65,83.33,89.06,56.21,77.74,72.27,90.52,63.87,18.25,3.71
20210112,M,Electronic Engineering,3.09,1,3,1,72.59,68.08,65.35,80.37,63.36,65.35,82.39,74.24,68.62,52.67,72.79,68.16,65.36,64.59,40.14,42.71,67.88,55.12,47.09,27.74,3.13
20210113,F,Business,3.29,2,1,0,63.64,50.90,52.67,63.93,76.42,53.01,62.20,81.95,75.21,28.97,63.78,50.99,52.69,40.87,58.40,28.10,38.69,67.16,56.57,8.39,3.30
20210114,M,Electronic Engineering,3.34,0,1,1,59.87,61.61,69.41,49.45,68.35,54.03,55.37,53.35,46.40,40.97,60.01,61.80,69.59,24.45,46.72,29.19,30.66,28.46,21.53,16.79,3.08
20210115,F,Computer Science,3.29,2,2,2,81.87,64.22,78.54,89.40,83.49,78.07,78.54,74.24,82.83,35.23,81.90,64.34,78.64,79.92,69.71,60.95,61.69,55.12,68.61,12.41,3.46
20210116,M,Computer Science,3.41,0,2,0,39.71,61.90,46.80,60.41,68.35,68.35,49.08,68.62,61.90,56.35,39.84,61.94,46.98,36.49,46.72,46.72,24.09,47.09,38.32,31.75,3.17
20210117,M,Electronic Engineering,3.04,2,2,1,56.16,76.65,76.89,66.18,65.35,65.35,61.61,64.22,71.22,48.71,56.17,76.81,76.98,43.80,42.71,42.71,37.96,41.24,50.72,23.73,3.09
20210118,M,Business,3.14,0,1,0,61.05,33.09,53.35,53.35,54.03,46.01,66.45,54.71,69.67,56.99,61.25,33.15,53.54,28.46,29.19,21.17,44.16,29.93,48.54,32.48,3.01
20210119,F,Applied Math,3.07,0,1,2,84.67,61.31,74.48,52.67,61.90,52.32,72.49,45.61,70.97,48.71,84.86,61.40,74.58,27.74,38.32,27.37,52.55,20.80,50.37,23.73,3.11
20210120,F,Applied Math,3.10,0,0,2,66.93,72.49,79.92,55.37,40.07,54.37,36.75,53.70,49.82,27.02,66.96,72.67,80.07,30.66,16.06,29.56,13.51,28.84,24.82,7.30,3.05
20210121,M,Computer Science,3.50,2,1,0,55.84,59.50,39.15,65.90,69.93,88.58,73.99,65.07,59.50,43.14,56.00,59.65,39.20,43.43,48.90,78.46,54.75,42.34,35.40,18.61,3.20
20210122,F,Electronic Engineering,3.36,0,3,1,60.17,65.62,59.19,70.71,60.71,57.63,66.73,73.25,61.61,70.19,60.36,65.71,59.22,50.00,36.86,33.21,44.53,53.66,37.96,49.27,3.15
20210123,F,Applied Math,3.27,3,1,1,69.56,81.05,61.01,84.14,85.86,79.46,68.88,57.31,67.27,33.64,69.63,81.11,61.20,70.80,73.72,63.14,47.44,32.84,45.25,11.32,3.32
20210124,M,Applied Math,3.20,0,2,2,75.25,81.95,69.67,39.61,70.71,53.35,64.78,73.74,76.18,49.08,75.27,82.02,69.72,15.69,50.00,28.46,41.96,54.38,58.03,24.09,3.28
20210125,M,Computer Science,3.19,3,2,0,53.55,50.18,70.97,90.62,83.93,90.01,77.60,63.93,68.35,0.00,53.56,50.25,71.14,82.12,70.44,81.02,60.22,40.87,46.72,0.00,3.17
20210126,F,Information Systems,3.13,3,2,2,67.73,82.17,73.25,74.73,77.13,79.00,81.28,73.25,84.14,51.62,67.88,82.29,73.26,55.85,59.49,62.41,66.06,53.66,70.80,26.65,3.31
20210127,M,Computer Science,3.39,0,1,2,62.50,55.37,77.84,71.48,68.62,63.36,51.97,45.61,53.70,60.11,62.55,55.43,77.88,51.09,47.09,40.14,27.01,20.80,28.84,36.13,3.20
20210128,M,Computer Science,3.32,0,3,0,33.87,43.98,59.81,53.35,70.19,66.73,74.48,81.95,80.83,50.54,34.04,44.07,59.95,28.46,49.27,44.53,55.47,67.16,65.33,25.54,3.19
20210129,M,Electronic Engineering,3.26,3,2,1,77.14,67.27,59.19,91.02,89.20,76.89,79.92,83.49,72.24,50.54,77.27,67.41,59.21,82.85,79.57,59.12,63.87,69.71,52.19,25.54,3.45
20210130,M,Electronic Engineering,3.88,1,2,1,77.83,77.13,75.70,51.97,74.73,71.74,71.99,78.30,68.08,59.19,77.96,77.30,75.81,27.01,55.85,51.47,51.83,61.31,46.35,35.03,3.69
